"symbol","instrument_type","security_type","market_status","total_volume","aum_size","average","change","eps","exchange","exercise_price","exercise_ratio","high","implied_volatility","inav","intrinsic_value","last","last_trading_date","low","maturity_date","moneyness","pbv","pe","percent_change","percent_yield","theoretical","to_last_trade","underlying","underlying_price","updated_at"
"24CS","STOCK","CS","Open1",0,NULL,NULL,NULL,"-1.02188",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2.73","0.0",NULL,"0.0",NULL,NULL,NULL,NULL,"2025-03-19 15:06:03.479588"
"2S","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.04221",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.63","51.32",NULL,"5.0",NULL,NULL,NULL,NULL,"2025-03-19 15:06:05.624171"
"3BBIF","STOCK","CS","Open1",0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.66",NULL,NULL,"0.0",NULL,NULL,NULL,NULL,"2025-03-19 15:06:07.769066"
"A","STOCK","CS","Open1",0,NULL,NULL,NULL,"-0.45",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1.95","0.0",NULL,"0.0",NULL,NULL,NULL,NULL,"2025-03-19 15:06:09.911076"
"A5","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.37987",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1.71","6.39",NULL,"4.070000171661377",NULL,NULL,NULL,NULL,"2025-03-19 15:06:12.049882"
"AAI","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.47219",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2.2","11.22",NULL,"8.460000038146973",NULL,NULL,NULL,NULL,"2025-03-19 15:06:14.201134"
"AAV","STOCK","CS","Open1",0,NULL,"2.14",NULL,"0.27066",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2.2","7.2",NULL,"0.0",NULL,NULL,NULL,NULL,"2025-03-19 15:06:16.342113"
"ABM","STOCK","CS","Open1",0,NULL,NULL,NULL,"-0.09",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.74","0.0",NULL,"0.0",NULL,NULL,NULL,NULL,"2025-03-19 15:06:18.519812"
"ACAP","STOCK","CS","Suspend",0,NULL,NULL,NULL,"0.65245",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2025-03-19 15:06:20.727645"
"ACC","STOCK","CS","Open1",0,NULL,NULL,NULL,"-0.06114",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.84","0.0",NULL,"0.0",NULL,NULL,NULL,NULL,"2025-03-19 15:06:22.872222"
"ACE","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.08",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.8","15.38",NULL,"0.0",NULL,NULL,NULL,NULL,"2025-03-19 15:06:25.021725"
"ACG","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.03986",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.67","20.07",NULL,"3.3299999237060547",NULL,NULL,NULL,NULL,"2025-03-19 15:06:27.17546"
"ADB","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.048",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.73","13.58",NULL,"3.130000114440918",NULL,NULL,NULL,NULL,"2025-03-19 15:06:29.33343"
"ADD","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.1236",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1.21","30.42",NULL,"9.569999694824219",NULL,NULL,NULL,NULL,"2025-03-19 15:06:31.506273"
"ADVANC","STOCK","CS","Open1",0,NULL,"286.0",NULL,"11.79",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"8.11","22.47",NULL,"4.0",NULL,NULL,NULL,NULL,"2025-03-19 15:06:33.657345"
"ADVICE","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.38208",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"3.46","14.0",NULL,"6.190000057220459",NULL,NULL,NULL,NULL,"2025-03-19 15:06:35.817165"
"AE","STOCK","CS","Open1",0,NULL,NULL,NULL,"-0.031",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.23","0.0",NULL,"0.0",NULL,NULL,NULL,NULL,"2025-03-19 15:06:37.958738"
"AEONTS","STOCK","CS","Open1",0,NULL,NULL,NULL,"8.5395",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1.01","8.01",NULL,"5.309999942779541",NULL,NULL,NULL,NULL,"2025-03-19 15:06:40.120576"
"AF","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.01046",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1.3","40.14",NULL,"4.760000228881836",NULL,NULL,NULL,NULL,"2025-03-19 15:06:42.334089"
"AFC","STOCK","CS","Open1",0,NULL,NULL,NULL,"-0.49",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.15","51.4",NULL,"0.0",NULL,NULL,NULL,NULL,"2025-03-19 15:06:44.494289"
"AGE","STOCK","CS","Open1",0,NULL,NULL,NULL,"-0.18956",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.41","0.0",NULL,"0.0",NULL,NULL,NULL,NULL,"2025-03-19 15:06:46.646309"
"AH","STOCK","CS","Open1",0,NULL,NULL,NULL,"2.15",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.4","5.62",NULL,"6.320000171661377",NULL,NULL,NULL,NULL,"2025-03-19 15:06:48.80327"
"AHC","STOCK","CS","Open1",0,NULL,NULL,NULL,"0.85",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.99","16.29",NULL,"3.119999885559082",NULL,NULL,NULL,NULL,"2025-03-19 15:06:50.950529"
